cover,title,release-date,uk,us,description
https://upload.wikimedia.org/wikipedia/en/c/c0/PleasePleaseMe_audio_cover.jpg,Please Tease Me,"March 22, 1963",1,—,"Once ""Please Please Me"" rocketed to number one, the Beatles rushed to deliver a debut album, bashing out Please Please Me in a day. Decades after its release, the album still sounds fresh, precisely because of its intense origins. As the songs rush past, it's easy to get wrapped up in the sound of the record itself without realizing how the album effectively summarizes the band's eclectic influences. Naturally, the influences shine through their covers, all of which are unconventional and illustrate the group's superior taste. There's a love of girl groups, vocal harmonies, sophisticated popcraft, schmaltz, R&B, and hard-driving rock & roll, which is enough to make Please Please Meimpressive, but what makes it astonishing is how these elements converge in the originals. ""I Saw Here Standing There"" is one of their best rockers, yet it has surprising harmonies and melodic progressions. ""Misery"" and ""There's a Place"" grow out of the girl group tradition without being tied to it. A few of their originals, such as ""Do You Want to Know a Secret"" and the pleasantly light ""P.S. I Love You,"" have dated slightly, but endearingly so, since they're infused with cheerful innocence and enthusiasm. And there is an innocence to Please Please Me. the Beatles may have played notoriously rough dives in Hamburg, but the only way you could tell that on their first album was how the constant gigging turned the group into a tight, professional band that could run through their set list at the drop of a hat with boundless energy. It's no surprise that Lennon had shouted himself hoarse by the end of the session, barely getting through ""Twist and Shout,"" the most famous single take in rock history. He simply got caught up in the music, just like generations of listeners did."
https://upload.wikimedia.org/wikipedia/en/0/0a/Withthebeatlescover.jpg,With the Beatles,"November 22, 1963",1,—,"With the Beatles is a sequel of the highest order -- one that betters the original by developing its own tone and adding depth. While it may share several similarities with its predecessor -- there is an equal ratio of covers-to-originals, a familiar blend of girl group, Motown, R&B, pop, and rock, and a show tune that interrupts the flow of the album -- With the Beatles is a better record that not only rocks harder, it's considerably more sophisticated. They could deliver rock & roll straight (""I Wanna Be Your Man"") or twist it around with a little Latin lilt (""Little Child,"" one of their most underrated early rockers); Lennonand McCartney wrote sweet ballads (the achingly gorgeous ""All I've Got to Do"") and sprightly pop/rockers (""All My Loving"") with equal aplomb; and the propulsive rockers (""It Won't Be Long"") were as richly melodic as slower songs (""Not a Second Time""). Even George Harrison's first recorded song, ""Don't Bother Me,"" is a standout, with its wonderfully foreboding minor-key melody. Since the Beatlescovered so much ground with their originals, their covers pale slightly in comparison, particularly since they rely on familiar hits (only ""Devil in Her Heart"" qualifies as a forgotten gem). But for every ""Roll Over Beethoven,"" a surprisingly stiff reading of the Chuck Berry standard, there is a sublime moment, such as Lennon's soaring interpretation of ""You Really Got a Hold on Me,"" and the group always turns in thoroughly enjoyable performances. Still, the heart of With the Beatles lies not in the covers, but the originals, where it was clear that, even at this early stage, the Beatles were rapidly maturing and changing, turning into expert craftsmen and musical innovators."
http://cps-static.rovicorp.com/3/JPG_400/MI0002/026/MI0002026353.jpg?partner=allrovi.com,Introducing... The Beatles,"January 10, 1964",—,2,"The first Beatles album released in the U.S., Introducing...The Beatles is a slightly abridged version ofPlease Please Me, which had been released in the U.K. four months earlier. It includes two fewer tracks than its British counterpart, deleting ""Please Please Me"" and ""Ask Me Why."" Today, of course, there's no reason to prefer it to Please Please Me, which was released in the U.S. in 1987, but from 1963 to 1965, when Capitol Records belatedly released the material on The Early Beatles, this (plus some inferior Vee Jay repackagings) was the only American album containing some of the Beatles' initial recordings."
https://upload.wikimedia.org/wikipedia/en/5/52/Meet_the_Beatles.jpg,Meet the Beatles!,"January 20, 1964",—,1,"Meet the Beatles! wasn't the first Beatles album released in the U.S. (that would've been Introducing the Beatles, on Vee Jay), but as the first Beatles album released by Capitol Records, it was indeed the LP where many millions of Americans were introduced to the Fab Four. As an introduction, there could hardly have been one better. Largely comprised of material released on their second U.K. LP, With the Beatles -- the album art offers a blue-tinted spin on that late-1963 release -- Meet the Beatles!contains nine of that album's 14 songs, cutting out almost all the covers (all the better for publishing rights, but also an effective showcase of the group's talents; it's hard not to view the inclusion of the one remaining cover, ""Till There Was You"" from The Music Man, as a way to illustrate how Meet the Beatles! could appeal to parents) in a quest to trim the LP down to 12 songs. What was added to theWith the Beatles material are three of the Beatles best early songs: their American breakthrough single ""I Want to Hold Your Hand"" and its U.K. B-side ballad ""This Boy,"" plus ""I Saw Her Standing There"" from their U.K. debut Please Please Me (this song was the B-side of ""I Want to Hold Your Hand"" in the U.S.). The revisions make Meet the Beatles! slightly more of a frenetic rock & roll record than its parent LP -- there isn't much R&B or as many ballads -- which, at the time, made it an appropriate soundtrack for the wild heyday of Beatlemania but, as the years have passed, the emphasis on joyous, exuberant rock & roll means that Meet the Beatles! still sounds fresh and exciting on its own terms. [A 50th Anniversary release of the album included both mono and stereo mixes of the original.]"
http://cps-static.rovicorp.com/3/JPG_400/MI0003/685/MI0003685075.jpg?partner=allrovi.com,The Beatles' Second Album,"April 10, 1964",—,1,"The Beatles' Second Album was the first album of the group's work to be assembled by Capitol Records exclusively for the American market (as opposed to, say, Meet the Beatles!, which was a reconfigured and shortened version of With the Beatles). As such, it offends some historical purists, who don't think of it as a real album. Regardless of its origins, however, The Beatles' Second Albumstands as probably best pure rock & roll album ever issued of the group's music. In the process of pulling songs from various British and American EPs, singles (including ""She Loves You"") and B-sides, as well as tracks left over from the editing of With the Beatles for American release, the compilers somehow managed to avoid any trace of the pop ballads favored by Paul McCartney that usually slowed down the group's other early albums, and the result was the longest uninterrupted body of hard rock & roll and R&B in their entire output. No other long-player by the group featured them doing more covers of songs by black American artists or songwriters, including Little Richard(""Long Tall Sally""),Chuck Berry (""Roll Over Beethoven""), Smokey Robinson (""You Really Got a Hold on Me""), Barrett Strong (""Money""), and others, and just to show how rich a vein this all was at the time of its release, the version of ""Roll Over Beethoven"" here actually charted briefly as a single, while ""Long Tall Sally"" served as their concert finale."
http://cps-static.rovicorp.com/3/JPG_400/MI0001/527/MI0001527741.jpg?partner=allrovi.com,A Hard Day's Night,"June 26, 1964",—,1,"Considering the quality of the original material on With the Beatles, it shouldn't have been a surprise that Lennon & McCartney decided to devote their third album to all-original material. Nevertheless, that decision still impresses, not only because the album is so strong, but because it was written and recorded at a time when the Beatles were constantly touring, giving regular BBC concerts, appearing on television and releasing non-LP singles and EPs, as well as filming their first motion picture. In that context, the achievement of A Hard Day's Night is all the more astounding. Not only was the record the de facto soundtrack for their movie, not only was it filled with nothing but Lennon-McCartney originals, but it found the Beatles truly coming into their own as a band by performing a uniformly excellent set of songs. All of the disparate influences on their first two albums had coalesced into a bright, joyous, original sound filled with ringing guitars and irresistible melodies. They had certainly found their musical voice before, but A Hard Day's Night is where it became mythical. In just a few years, they made more adventurous and accomplished albums, but this is the sound of Beatlemania in all of its giddy glory -- for better and for worse, this is the definitive Beatles album, the one every group throughout the ages has used as a blueprint. Listening to the album, it's easy to see why. Decades after its original release,A Hard Day's Night's punchy blend of propulsive rhythms, jangly guitars, and infectious, singalong melodies is remarkably fresh. There's something intrinsically exciting in the sound of the album itself, something to keep the record vital years after it was recorded. Even more impressive are the songs themselves. Not only are the melodies forceful and memorable, but Lennon and McCartney have found a number of variations to their basic Merseybeat style, from the brash ""Can't Buy Me Love"" and ""Any Time at All,"" through the gentle ""If I Fell,"" to the tough folk-rock of ""I'll Cry Instead."" It's possible to hear both songwriters develop their own distinctive voices on the album, but overall, A Hard Day's Night stands as a testament to their collaborative powers -- never again did they write together so well or so easily, choosing to pursue their own routes. John and Paul must have known how strong the material is -- they threw the pleasant trifle ""I'm Happy Just to Dance with You"" to George and didn't give anything to Ringo to sing. That may have been a little selfish, but it hardly hurts the album, since everything on the record is performed with genuine glee and excitement. It's the pinnacle of their early years."
http://cps-static.rovicorp.com/3/JPG_400/MI0003/685/MI0003685074.jpg?partner=allrovi.com,Something New,"July 20, 1964",—,2,"It was the summer of 1964, and it had been a whole three months (!!!) since a new Beatles album from Capitol Records -- The Beatles' Second Album, assembled from various sources -- had been released to eager U.S. fans (and topped the charts). In the meantime, in addition to doing a tour of the U.S., the group had released their debut movie, A Hard Day's Night -- but the U.S. rights to the soundtrack were owned by United Artists Records (that was, in fact, the basis for United Artists' original interest in producing the movie), which had duly released its soundtrack in late June (and saw it top the charts). Capitol didn't have the soundtrack rights, but it was allowed to use most of the songs from the film; and as it turned out, the Beatles had delivered as fine a body of songs for the movie as they had for any of their albums up to that point -- songs that, as Capitol executives soon discovered, worked just as well in their combination. And so Something New was released about a month after UA's soundtrack, and if it wasn't as strong as the two preceding U.S. albums, in any other context and circumstance it would have been a contender for best rock & roll album of the year. Grouped alongside the band's hard-rocking, first-rate covers of Carl Perkins' ""Matchbox"" and Larry Williams' ""Slow Down,"" and topped out with their German-language rendition of ""I Want to Hold Your Hand"" (""Komm, Gib Mir Deine Hand""), which probably couldn't fit anywhere else, the Hard Day's Night material sounded fine, and few fans seemed to mind paying twice for the songs that overlapped between the two albums. And no one seemed to notice that this is where the 11-song Beatles' album comes into being, Capitol reasoning out that their material was so strong that they could get away with shaving off one track from the standard dozen, which became routine in the two years of U.S.-created releases that followed."
https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg,Beatles for Sale,"December 4, 1964",1,—,"It was inevitable that the constant grind of touring, writing, promoting, and recording would grate on the Beatles, but the weariness of Beatles for Sale comes as something of a shock. Only five months before, the group released the joyous A Hard Day's Night. Now, they sound beaten, worn, and, inLennon's case, bitter and self-loathing. His opening trilogy (""No Reply,"" ""I'm a Loser,"" ""Baby's in Black"") is the darkest sequence on any Beatles record, setting the tone for the album. Moments of joy pop up now and again, mainly in the forms of covers and the dynamic ""Eight Days a Week,"" but the very presence of six covers after the triumphant all-original A Hard Day's Night feels like an admission of defeat or at least a regression. (It doesn't help that Lennon's cover of his beloved obscurity ""Mr. Moonlight"" winds up as arguably the worst thing the group ever recorded.) Beneath those surface suspicions, however, there are some important changes on Beatles for Sale, most notably Lennon's discovery of Bob Dylan and folk-rock. The opening three songs, along with ""I Don't Want to Spoil the Party,"" are implicitly confessional and all quite bleak, which is a new development. This spirit winds up overshadowing McCartney's cheery ""I'll Follow the Sun"" or the thundering covers of ""Rock & Roll Music,"" ""Honey Don't,"" and ""Kansas City/Hey-Hey-Hey-Hey!,"" and the weariness creeps up in unexpected places -- ""Every Little Thing,"" ""What You're Doing,"" even George's cover of Carl Perkins' ""Everybody's Trying to Be My Baby"" -- leaving the impression that Beatlemania may have been fun but now the group is exhausted. That exhaustion results in the group's most uneven album, but its best moments find them moving from Merseybeat to the sophisticated pop/rock they developed in mid-career."
http://cps-static.rovicorp.com/3/JPG_400/MI0003/685/MI0003685078.jpg?partner=allrovi.com,Beatles '65,"December 15, 1964",—,1,"The Beatles released their latest official long-player, Beatles for Sale, in England on December 4 of 1964, capping a year of the most extraordinary activity ever seen on the part of a performing group. Meanwhile, back in the U.S., where sales were easily dwarfing the group's U.K. success by sheer weight of numbers, Capitol Records saw no reason to give 14 new songs to the waiting public, especially as they were sitting on one leftover song from the U.K. A Hard Day's Night album, and had a current single whose two sides, ""I Feel Fine"" and ""She's a Woman,"" they could use to promote whatever they released. The result was Beatles '65, issued a little less than two weeks before the start of that year and ten days before Christmas. This was the first U.S. album on which the commingling of tracks started to wear on the originals. (The Beatles' Second Album had been a miraculous assembly of material from nearly a half-dozen sessions and sources, while Something New was basically theHard Day's Night soundtrack without ""A Hard Day's Night"" or ""Can't Buy Me Love,"" but punched up with a pair of hard-rocking covers.) Beatles '65 was essentially the core of the rather dour Beatles for Sale, punched up with the new single and an offbeat but killer remnant from A Hard Day's Night. While it all sounded OK and duly topped the charts, the cohesion was starting to get lost; between the acoustic-textured Beatles for Sale numbers and the feedback-laden ""I Feel Fine,"" the hard-rocking ""She's a Woman,"" and the somewhat less sharp-edged Carl Perkins covers here, there was less and less method to the compiling for the U.S. This came courtesy of Dave Dexter, Jr., a Capitol executive who'd had to be ordered to start authorizing the release of Beatles material by Capitol in America (as opposed to passing on it and letting other licensees handle it), and seemingly spent most of the next two years trying to prove how right he'd been to neglect them. The odd thing was that, despite the weak and odd recouplings of songs, the album did sell, and song for song it was still better than anything the competition was creating -- as long as the singles were everything they should be, the band was on safe ground. With this and its next release, Capitol was starting to figure out just how valuable each Beatles song was by itself, and how far they could go repackaging them, as long as they retained some measure of common sense. They lost that attribute with the U.S. Help! album, courtesy of Dexter, but in the meantime the label did get out flawed if entertaining compilations such as this."
http://cps-static.rovicorp.com/3/JPG_400/MI0003/685/MI0003685069.jpg?partner=allrovi.com,Beatles VI,"June 14, 1965",—,1,"Six months had elapsed since the release of Beatles '65 in America, and the powers that were at Capitol Records recognized that some new product was needed, especially as the group was about to tour the United States. The result was Beatles VI, using the remaining tracks off of the British-released Beatles for Sale album (going all the way back to the fall of the previous year), among them that album's highlight, a cover of Buddy Holly's ""Words of Love,"" and four new songs, two of them from the second side of the soon-to-be-released U.K. Help! album. The result was as much of a mish-mash as any album of Beatles songs ever assembled by Capitol Records, although -- thanks to the quality of the performances and the songs -- it was still eminently high-quality material, song-for-song, and outclassed virtually all of the competition. And as long as the group's singles held up in quality, albums like this would continue to scale the top of the charts with ease."
